total_rec_prncp,last_fico_range_high,last_fico_range_low,last_pymnt_delta,last_pymnt_amnt,is_bad
5e3,744,740,1127.0,171.62,0.0
456.46,499,0,487.0,119.66,1.0
2400.0,719,715,913.0,649.91,0.0
1e4,604,600,1127.0,357.48,0.0
2794.22,694,690,1766.0,67.79,0.0
5e3,679,675,1127.0,161.03,0.0
7e3,654,650,1613.0,1313.76,0.0
3e3,689,685,1127.0,111.34,0.0
162.02,499,0,122.0,152.39,1.0
673.48,519,515,336.0,121.45,1.0
6500.0,734,730,548.0,1655.54,0.0
12e3,669,665,640.0,6315.3,0.0
1256.14,619,615,213.0,305.38,1.0
3e3,734,730,1127.0,102.43,0.0
5433.47,654,650,670.0,325.74,1.0
1e3,769,765,1127.0,36.32,0.0
1e4,639,635,1127.0,370.46,0.0
3600.0,794,790,517.0,583.45,0.0
6e3,559,555,1158.0,16.98,0.0
9200.0,644,640,213.0,8061.1,0.0
20250.0,684,680,1339.0,6024.09,0.0
10694.96,534,530,640.0,701.73,1.0
1e4,779,775,1127.0,349.21,0.0
1e4,684,680,670.0,4942.63,0.0
1305.58,499,0,305.0,198.46,1.0
15e3,734,730,275.0,2447.05,0.0
629.05,579,575,366.0,123.65,1.0
4e3,689,685,487.0,2638.77,0.0
8500.0,599,595,1096.0,581.59,0.0
4375.0,734,730,1127.0,144.94,0.0
31825.0,659,655,609.0,16966.7,0.0
9043.03,564,560,1736.0,242.97,0.0
5e3,704,700,1127.0,163.64,0.0
7e3,734,730,1127.0,260.74,0.0
12400.0,784,780,1127.0,417.61,0.0
10800.0,679,675,701.0,3483.79,0.0
15e3,739,735,762.0,5872.8,0.0
6e3,749,745,852.0,1923.53,0.0
11644.57,604,600,1766.0,282.44,0.0
9600.0,829,825,1127.0,311.56,0.0
12e3,774,770,1127.0,380.98,0.0
3e3,689,685,1127.0,115.38,0.0
4400.0,594,590,1127.0,162.44,0.0
6e3,784,780,213.0,15.01,0.0
14e3,734,730,1127.0,457.91,0.0
4217.38,639,635,974.0,158.77,1.0
1e4,689,685,1127.0,332.92,0.0
1e4,789,785,213.0,8762.05,0.0
11e3,794,790,1127.0,346.13,0.0
13556.45,614,610,1035.0,483.38,1.0
25600.0,659,655,1127.0,838.27,0.0
7e3,699,695,1127.0,240.27,0.0
1903.66,579,575,244.0,421.65,1.0
12e3,784,780,943.0,964.73,0.0
8990.81,614,610,1035.0,555.33,1.0
16e3,714,710,670.0,9931.02,0.0
1e4,689,685,578.0,5803.94,0.0
1e4,749,745,244.0,8627.74,0.0
7100.0,649,645,1127.0,262.78,0.0
13e3,709,705,1492.0,3596.46,0.0
8950.0,664,660,1523.0,2487.58,0.0
17675.0,599,595,609.0,13814.81,0.0
8e3,649,645,1096.0,606.54,0.0
5495.38,629,625,1217.0,1.0,1.0
3500.0,664,660,1127.0,118.32,0.0
2812.82,659,655,793.0,223.11,1.0
16425.0,609,605,336.0,13108.71,0.0
1525.83,684,680,548.0,223.14,1.0
15e3,669,665,1005.0,2533.38,0.0
13575.0,679,675,852.0,9245.21,0.0
3334.25,499,0,670.0,227.45,1.0
3e3,699,695,275.0,2539.58,0.0
12e3,669,665,1127.0,441.52,0.0
14400.0,689,685,1127.0,464.02,0.0
12e3,629,625,183.0,11046.6,0.0
11e3,684,680,1035.0,1491.29,0.0
7200.0,729,725,275.0,6824.7,0.0
15e3,729,725,244.0,312.74,0.0
18e3,709,705,1035.0,10783.73,0.0
22075.0,694,690,793.0,15660.22,0.0
1e4,694,690,213.0,8962.31,0.0
11800.0,669,665,1127.0,419.36,0.0
4500.0,839,835,1127.0,138.95,0.0
7e3,574,570,1127.0,248.19,0.0
9200.0,789,785,578.0,365.48,0.0
12969.17,669,665,1766.0,349.98,0.0
4500.0,754,750,366.0,3946.24,0.0
12e3,499,0,701.0,5800.45,0.0
12e3,699,695,852.0,426.26,0.0
12e3,679,675,275.0,10046.57,0.0
7e3,819,815,428.0,4958.61,0.0
8200.0,714,710,1096.0,4625.07,0.0
10500.0,699,695,305.0,4421.32,0.0
7e3,704,700,548.0,4235.03,0.0
14071.38,679,675,1766.0,423.1,0.0
12800.0,784,780,701.0,9242.39,0.0
3077.85,544,540,487.0,437.47,1.0
3500.0,734,730,1127.0,107.86,0.0
5594.47,749,745,1766.0,135.57,0.0
1700.79,574,570,366.0,199.8,1.0
16e3,684,680,1644.0,3073.26,0.0
6e3,669,665,1127.0,198.47,0.0
7200.0,644,640,1127.0,240.64,0.0
9500.0,629,625,578.0,5378.43,0.0
8087.75,644,640,1005.0,465.53,1.0
24e3,744,740,1127.0,791.58,0.0
6e3,669,665,1127.0,212.86,0.0
6e3,704,700,1127.0,214.39,0.0
2100.0,609,605,1096.0,72.44,0.0
5500.0,839,835,1127.0,178.58,0.0
11e3,604,600,1127.0,349.86,0.0
26800.0,684,680,456.0,23499.05,0.0
8e3,634,630,456.0,5514.5,0.0
8320.22,614,610,1127.0,200.0,1.0
8e3,744,740,882.0,2295.56,0.0
1e4,734,730,456.0,6743.26,0.0
12e3,734,730,882.0,3074.04,0.0
